epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,464.564,2.00791,1.12347,1.72677,0.83332,0.82254,0.86775,0.61895,2.05818,1.02837,1.72264,0.000848969,0.000848969,0.000848969
43,474.939,1.98383,1.1193,1.72496,0.80366,0.81615,0.84201,0.5585,2.38894,1.1467,1.78657,0.000834822,0.000834822,0.000834822
44,484.93,1.99082,1.11487,1.71935,0.81486,0.7979,0.83534,0.58643,2.19963,1.24135,1.74551,0.000820675,0.000820675,0.000820675
45,495.204,2.01396,1.11754,1.72427,0.81975,0.79932,0.83771,0.56548,2.49129,1.23254,1.8334,0.000806528,0.000806528,0.000806528
46,505.489,1.94304,1.08159,1.71042,0.88625,0.83014,0.87499,0.64196,1.91753,1.03958,1.69292,0.00079238,0.00079238,0.00079238
47,515.735,1.96273,1.08859,1.71469,0.82793,0.8038,0.84106,0.57556,2.3428,1.23064,1.79543,0.000778233,0.000778233,0.000778233
48,526.74,1.93283,1.08657,1.71639,0.81465,0.84492,0.87515,0.64244,1.8628,0.98886,1.67982,0.000764086,0.000764086,0.000764086
49,537.146,1.93837,1.08032,1.71425,0.81452,0.79508,0.82682,0.57847,2.27063,1.23975,1.76273,0.000749939,0.000749939,0.000749939
50,547.453,1.94637,1.09096,1.70889,0.85673,0.79901,0.85056,0.62733,1.93719,1.18452,1.70618,0.000735792,0.000735792,0.000735792
51,558.562,1.91473,1.05342,1.70969,0.85804,0.80688,0.85213,0.62404,1.92358,1.17191,1.69805,0.000721645,0.000721645,0.000721645
52,568.815,1.90723,1.05724,1.70724,0.83463,0.8156,0.85519,0.62736,1.93292,1.11604,1.69813,0.000707498,0.000707498,0.000707498
53,579.214,1.89596,1.04451,1.69949,0.86353,0.8457,0.88309,0.64847,1.86461,0.91272,1.67543,0.000693351,0.000693351,0.000693351
54,590.873,1.89609,1.04829,1.70234,0.85125,0.83823,0.87101,0.63315,1.96835,1.03648,1.70823,0.000679204,0.000679204,0.000679204
55,601.411,1.86962,1.01127,1.70161,0.76584,0.80579,0.82909,0.59104,2.14362,1.27029,1.74742,0.000665057,0.000665057,0.000665057
56,611.737,1.87341,1.02209,1.69556,0.86673,0.85098,0.88697,0.6574,1.78918,0.92831,1.66272,0.000650909,0.000650909,0.000650909
57,622.09,1.82952,0.99526,1.68844,0.83379,0.85094,0.87275,0.64949,1.87211,1.01023,1.68845,0.000636762,0.000636762,0.000636762
58,632.389,1.84716,1.01789,1.69637,0.81258,0.82497,0.85657,0.63847,1.9012,1.15137,1.69276,0.000622615,0.000622615,0.000622615
59,643.191,1.85324,1.00943,1.69259,0.69761,0.72103,0.71835,0.46674,2.77484,1.75631,1.94238,0.000608468,0.000608468,0.000608468
60,654.13,1.82443,1.0035,1.69168,0.88157,0.81554,0.86865,0.65008,1.82329,1.05583,1.6772,0.000594321,0.000594321,0.000594321
