epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,527.253,2.1275,1.22427,1.75179,0.81478,0.78088,0.82473,0.59354,2.06993,1.16175,1.74914,0.000848969,0.000848969,0.000848969
43,538.752,2.11456,1.20781,1.74785,0.78606,0.75318,0.80751,0.55827,2.3763,1.35101,1.81978,0.000834822,0.000834822,0.000834822
44,551.497,2.11723,1.21304,1.74341,0.80921,0.78352,0.82478,0.60115,2.06825,1.15787,1.73457,0.000820675,0.000820675,0.000820675
45,562.997,2.11912,1.20263,1.74726,0.75207,0.68095,0.72363,0.46506,2.85124,1.89858,1.98045,0.000806528,0.000806528,0.000806528
46,574.509,2.11844,1.20246,1.74555,0.74741,0.74366,0.78335,0.51965,2.55123,1.60376,1.88096,0.00079238,0.00079238,0.00079238
47,587.622,2.08632,1.18057,1.74254,0.77632,0.73727,0.80284,0.54599,2.46282,1.48159,1.8348,0.000778233,0.000778233,0.000778233
48,599.072,2.10997,1.18743,1.74351,0.81881,0.80886,0.83273,0.59894,2.09514,1.198,1.74608,0.000764086,0.000764086,0.000764086
49,611.276,2.0408,1.14915,1.73201,0.78703,0.71401,0.7762,0.51411,2.78794,1.7193,1.9513,0.000749939,0.000749939,0.000749939
50,623.041,2.02263,1.12727,1.73272,0.78572,0.79045,0.82963,0.59243,2.13592,1.18996,1.7617,0.000735792,0.000735792,0.000735792
51,634.517,2.06045,1.17057,1.74065,0.77706,0.78268,0.82643,0.57664,2.18363,1.21943,1.76446,0.000721645,0.000721645,0.000721645
52,647.163,2.0802,1.15975,1.73586,0.62985,0.67187,0.64153,0.41722,2.8314,2.01754,1.98267,0.000707498,0.000707498,0.000707498
53,659.739,2.03078,1.13159,1.73306,0.82067,0.80089,0.83544,0.56726,2.39425,1.16695,1.82624,0.000693351,0.000693351,0.000693351
54,671.291,2.00452,1.11013,1.72615,0.74221,0.65972,0.71096,0.49727,2.52784,1.89417,1.88447,0.000679204,0.000679204,0.000679204
55,682.918,2.00439,1.1169,1.72513,0.79206,0.75299,0.80224,0.56301,2.34659,1.26033,1.82316,0.000665057,0.000665057,0.000665057
56,694.622,1.99527,1.11302,1.7198,0.85489,0.82217,0.86766,0.63498,1.86805,0.9674,1.695,0.000650909,0.000650909,0.000650909
57,706.467,1.95456,1.09027,1.71785,0.81238,0.78989,0.8271,0.57259,2.28736,1.24214,1.80583,0.000636762,0.000636762,0.000636762
58,719.733,1.96736,1.1103,1.72167,0.748,0.65523,0.71281,0.45686,3.03005,2.02665,2.06752,0.000622615,0.000622615,0.000622615
59,731.333,1.97232,1.09835,1.7211,0.76656,0.79345,0.82828,0.57492,2.30906,1.18298,1.81528,0.000608468,0.000608468,0.000608468
60,742.92,1.96156,1.09407,1.71639,0.80946,0.82492,0.85596,0.63451,1.88882,1.02061,1.70214,0.000594321,0.000594321,0.000594321
61,754.959,1.94146,1.07585,1.71548,0.74498,0.73905,0.76654,0.53547,2.44501,1.50897,1.85709,0.000580174,0.000580174,0.000580174
62,767.072,1.92483,1.06503,1.70796,0.83282,0.80687,0.8538,0.62539,1.96267,1.0816,1.7126,0.000566027,0.000566027,0.000566027
63,778.961,1.90861,1.05891,1.70978,0.78633,0.77669,0.81455,0.53575,2.76429,1.35546,1.95887,0.00055188,0.00055188,0.00055188
64,791.048,1.90309,1.04724,1.7079,0.77526,0.79019,0.81587,0.58615,2.18578,1.20186,1.78864,0.000537733,0.000537733,0.000537733
65,802.632,1.91858,1.05527,1.70501,0.82675,0.81799,0.8607,0.63393,1.88545,1.04583,1.69805,0.000523586,0.000523586,0.000523586
66,814.134,1.90225,1.04801,1.70553,0.83024,0.82156,0.86922,0.64486,1.83124,0.99089,1.68094,0.000509438,0.000509438,0.000509438
67,827.664,1.88852,1.03379,1.70047,0.8591,0.83447,0.8767,0.65308,1.79899,0.93136,1.68039,0.000495291,0.000495291,0.000495291
68,839.474,1.89211,1.04334,1.7002,0.81143,0.79616,0.83617,0.60219,2.0723,1.09818,1.74696,0.000481144,0.000481144,0.000481144
69,850.941,1.88043,1.04012,1.70059,0.82112,0.82289,0.85817,0.64779,1.83221,0.98327,1.69151,0.000466997,0.000466997,0.000466997
70,862.931,1.88489,1.03563,1.69991,0.71321,0.74466,0.77885,0.51492,2.61441,1.48971,1.9119,0.00045285,0.00045285,0.00045285
71,874.447,1.86003,1.0245,1.69626,0.84934,0.83235,0.8678,0.64219,1.90193,0.97171,1.69611,0.000438703,0.000438703,0.000438703
72,886.676,1.83896,1.00672,1.69382,0.83113,0.82593,0.85746,0.62781,1.95493,1.0193,1.72081,0.000424556,0.000424556,0.000424556
73,898.928,1.85144,1.01548,1.69799,0.80159,0.78995,0.83234,0.62046,1.89092,1.2073,1.70773,0.000410409,0.000410409,0.000410409
74,910.952,1.84324,1.01493,1.69401,0.84097,0.81913,0.86894,0.65524,1.7716,0.96976,1.67656,0.000396262,0.000396262,0.000396262
75,922.97,1.8027,0.99054,1.69309,0.85693,0.8486,0.88276,0.66012,1.80266,0.90537,1.68803,0.000382115,0.000382115,0.000382115
76,934.857,1.80772,0.99559,1.69154,0.78308,0.81996,0.84463,0.60368,2.17392,1.20122,1.78272,0.000367967,0.000367967,0.000367967
77,946.452,1.80969,0.99629,1.69203,0.83895,0.79271,0.8424,0.63477,1.87611,1.11614,1.70312,0.00035382,0.00035382,0.00035382
78,958.55,1.81286,1.00307,1.69501,0.86143,0.79615,0.85913,0.62041,1.99755,1.12243,1.73487,0.000339673,0.000339673,0.000339673
79,970.184,1.81643,0.98922,1.69025,0.79214,0.7964,0.83342,0.58266,2.29119,1.19449,1.82999,0.000325526,0.000325526,0.000325526
80,981.71,1.82346,0.98895,1.69326,0.85358,0.83851,0.87714,0.64415,1.92581,0.95386,1.71835,0.000311379,0.000311379,0.000311379
81,993.529,1.74731,0.94623,1.68096,0.87162,0.83214,0.88357,0.66121,1.75811,0.90935,1.67767,0.000297232,0.000297232,0.000297232
82,1005.39,1.76562,0.96353,1.68348,0.86423,0.849,0.88693,0.67048,1.70872,0.8801,1.66659,0.000283085,0.000283085,0.000283085
83,1018.68,1.76897,0.96726,1.68251,0.82926,0.81487,0.8596,0.6117,2.13609,1.09194,1.76666,0.000268938,0.000268938,0.000268938
